track,id,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,coverlink
see you later (ten years),7FKkswFflI5Txc3Y4gH0IB,0.576,0.467,1,-6.435,0.0305,0.257,0,0.13,0.234,86.011,https://wrapped-images.spotifycdn.com/image/yts-2022/large/your-top-songs-2022_large_en.jpg
buzzkill,1xFkcJjWuLlq8CIymwSTw9,0.638,0.755,8,-5.614,0.0682,0.362,3.09e-06,0.329,0.739,169.953,https://wrapped-images.spotifycdn.com/image/yts-2022/large/your-top-songs-2022_large_en.jpg
Miss Missing You,4pXqUELqAFyjlU2vx3BHRR,0.556,0.851,6,-2.981,0.0443,4.46e-05,1.97e-05,0.211,0.271,114.948,https://wrapped-images.spotifycdn.com/image/yts-2022/large/your-top-songs-2022_large_en.jpg
In The End,1RTYixE1DD3g3upEpmCJpa,0.442,0.939,8,-4.18,0.0941,0.000183,0.00589,0.0857,0.27,140.021,https://wrapped-images.spotifycdn.com/image/yts-2022/large/your-top-songs-2022_large_en.jpg
DiE4u,2gT72HL4Y84K2Mle3miAMJ,0.355,0.919,7,-3.771,0.356,0.00234,0.000313,0.262,0.259,159.922,https://wrapped-images.spotifycdn.com/image/yts-2022/large/your-top-songs-2022_large_en.jpg
Mary On A Cross,0LOo3MYjiSzIOLjSd9wZUw,0.466,0.9,11,-4.469,0.0447,0.000235,0.00104,0.103,0.561,130.02,https://wrapped-images.spotifycdn.com/image/yts-2022/large/your-top-songs-2022_large_en.jpg
If I Were You,0TA4JOCcrPyShfCxdFl1tN,0.57,0.85,2,-4.655,0.107,0.0181,0.000528,0.123,0.329,76.01,https://wrapped-images.spotifycdn.com/image/yts-2022/large/your-top-songs-2022_large_en.jpg
Good F**King Music,75qezFTBIjU7OkoWGeD10Z,0.507,0.723,8,-5.747,0.175,0.00831,0,0.195,0.706,142.935,https://wrapped-images.spotifycdn.com/image/yts-2022/large/your-top-songs-2022_large_en.jpg
Throne,0M3adYbGtyRHACP86dey1H,0.426,0.888,0,-3.72,0.0987,0.000455,0,0.306,0.387,144.111,https://wrapped-images.spotifycdn.com/image/yts-2022/large/your-top-songs-2022_large_en.jpg
Figure You Out,2bFGGsScXp2Tu10jKMCKO6,0.631,0.491,11,-8.141,0.0354,0.508,3.18e-05,0.177,0.537,94.912,https://wrapped-images.spotifycdn.com/image/yts-2022/large/your-top-songs-2022_large_en.jpg
Black Sheep,1IXHEW37OZl7EBajKupTg0,0.36,0.875,6,-2.902,0.0508,1.06e-05,0,0.302,0.481,92.497,https://wrapped-images.spotifycdn.com/image/yts-2022/large/your-top-songs-2022_large_en.jpg
From Now On,3IkWmgGsXbsafrunwPojXO,0.516,0.518,4,-10.383,0.04,0.00483,0.00895,0.585,0.0834,108.027,https://wrapped-images.spotifycdn.com/image/yts-2022/large/your-top-songs-2022_large_en.jpg
Sex on Fire,0ntQJM78wzOLVeCUAW7Y45,0.542,0.905,9,-5.653,0.054,0.00172,0.0104,0.136,0.374,153.398,https://wrapped-images.spotifycdn.com/image/yts-2022/large/your-top-songs-2022_large_en.jpg
Only Love Can Hurt Like This,62ke5zFUJN6RvtXZgVH0F8,0.566,0.885,8,-4.528,0.0818,0.0958,9.97e-05,0.334,0.304,90.99,https://wrapped-images.spotifycdn.com/image/yts-2022/large/your-top-songs-2022_large_en.jpg
